product_name,id,rating,message,date,timestamp,variant,is_anonymous,username,total_likes,has_image,has_video,seller_reply
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2046052930,5,Bagus,1776170754,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2045996859,5,"Manfaat produk: Menghilangkan beruntusan,bekas jerawat, jerawat on off Jenis kulit: Sensitif Udah pesan untuk ke 2 kali nya",1776168783,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2045981852,4,"Semoga cocok dikulit aku, dan aku dapat bonus satu red jelly nya",1776168300,1 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2045716689,5,udah jadi langganan 💞💞💞,1776159970,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2045709478,5,Bru prtma kli cba smog cocok,1776159709,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2045594331,5,mau coba semoga cocok,1776155691,1 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2045293006,5,"Barang nya sesuai,",1776143797,1 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2044570845,5,bagus,1776092855,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2044364905,5,Lumayan,1776084022,1 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2043905408,5,barangnya udah Dateng maaf ga kepoto 🙏,1776069464,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2043558774,5,Udah beli ke3kalinya cocok sih di kulit ku,1776057105,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2043363683,5,"Pengiriman cepat,kemasan rapih...semoga cocok,kalau cocok next order lagi",1776050969,1 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2043271888,5,"Mantep,, semoga cocok ya,, terimakasih",1776048397,1 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2043201038,5,Makasih kak red jelly nya dikasih 3,1776045700,1 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2043150623,2,kenapa beda sama yg d foto,1776043461,1 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2042832867,5,Day 1 pake do&#39;ain cck yh friend,1776004606,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2042671301,5,Semoga cocok,1775997140,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2042367559,5,Bagus,1775985798,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2041958143,5,paket aman sampai tujuan,1775969277,1 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2041680847,5,Maaf baru ngasih ulasan soalnya mau lihat hasil ya dulu dan ternyata mantul yg awal nya susah cerah jadi cerah 😊 Manfaat produk: Susah cerah Jenis kulit: Semua jenis kulit,1775958108,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2041680679,5,"bagus produk nya ga ada yg lecet cmn blm di coba aja, semoga cocok klo cocok bakal langganan sih soalnya harga 1 paketnya muce abizz",1775958097,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2041360345,5,semoga cocok,1775916951,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2040885743,5,Paket udh dteng semoga aja cocok,1775898270,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2040257708,4,Mff baru ulas pket nya baru Dateng ini mau coba semoga cocok,1775874274,1 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2039844747,3,"Blm ada ngaruh nya ke aku ,,",1775830274,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2039346221,5,"Alhamdulillah udh sampe pesanannya, pertama kali beli semoga ccok 😍",1775811839,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2038774242,5,Peking rapih semoga cocok D wajah q pertma beli,1775791193,1 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2037876046,5,Semoga cocok.biar bisa beli lag😊iii,1775731012,2 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2035787248,5,Bahan: Baik Manfaat produk: Untuk memutihkan wajah Jenis kulit: Semua jenis kulit,1775635243,2 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2035613567,4,Bismilah baru coba semoga cocok dikulitku,1775629227,2 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2035222294,5,Sesuai dengan pesanan.mudah²an cocok,1775616953,2 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2035176442,5,aku beli dua paket dapat bonus red jelly 1 mkasih ya😍,1775615310,2 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2034464416,5,Semoga cocokk biar ga gonta ganti skincare lagi,1775561383,2 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2034029080,5,berminyak,1775546179,2 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2033306351,5,"Semoga cocok di aku,baru per1 kali beli soalx😁",1775511272,2 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2033205511,5,Udah berapaa kali beli mantulllll,1775491237,2 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2033200201,4,"baru coba blm tau hasilnya,semoga baguss",1775490820,2 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2033171324,4,Paket sudah datang Semoga cocok,1775488767,2 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2033005967,5,"Produk sangat baik,, Semoga cocok Terimakasih",1775481318,2 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2032975021,5,"Alhamdulillah paket super sudah sampai,,,semoga cocok d wajah aq",1775480167,2 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2032877035,5,"Aman sampai tujuan, terimakasih min🥰🤗",1775476691,2 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2032671517,4,Paketnya kurang 1 kurang Night cream,1775470356,2 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2032574841,1,mudah mudahan coco yaaaa soalnya frist time,1775467223,2 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2032110442,4,Jenis kulit: sdikit brntusn tp cocok di kulit aku,1775451576,2 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2031769564,5,Paket sudah sampai semoga cocok buat bisa langganan,1775440065,2 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2031041453,5,"Sangat bagus, semoga cocok",1775385614,2 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2030015380,5,"Muda mudahan cocok d aku,",1775319249,2 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2028939835,5,👍,1775274375,2 minggu lalu,Default,True,Anonymous,0,False,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2028780868,5,"Paket mendarat dgn aman, packing rapi dpt bonus tas pink cantik,,baru pertama pesan mudahan cocok di muka aku. Kurir sdh langganan the best pokok nya",1775268414,2 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2028780686,1,wajah ku rusak parah gara gara ni produkk nyesel bangett beli ini plis yang mau coba hati hati aku coba Konsul di live owner nya nyolot kualitas produk buruk kecewa banget gk tau cara nyembuh In nya gimanaa ni,1775268404,2 minggu lalu,,False,erik,1,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2028732785,5,Jenis kulit: Bagusss,1775266126,2 minggu lalu,Default,True,Anonymous,0,True,False,
X Beauty 1 Paket Isi 6 Redjelly Day Peach,2027722941,5,Masya Allah sudah sudah paket ke sekian kalinya mantan,1775201547,2 minggu lalu,Default,True,Anonymous,0,True,False,
